,album titles,artists,cleaned_sentences
1172,동행,김동률,주다 되어다 불다 듣다 해주다 오다 닿다 맴돌다 해보다 견디다 부리다 해주다 들다 들다 들다 들려주다 주다 듣다 들다 들다 들다 모르다 느껴지다 듣다 해주다 싶다 오다 닿다 걸다 즐기다 듣다 지다 알다 들다 풀다 주다
1173,Eat,화지(Hwaji),느끼다 바라보다 자다 녹이다 내다 빠지다 해봤다 자다 보여주다 자다 느끼다 맞추다 두다 맞다 주다 밝히다 싶다
1174,Chief Life,팔로알토 (Paloalto),지다 넘다 대다 접다 이끌다 들다 녹다 담기다 드러내다 빼놓다 드러내다 보여주다 더불다 넣다 알다 짜내다 건너가다 들다 바라다
1175,kimdongrYULE,김동률,나오다 지다 지나다 다가오다 내다 내다 내다 남기다 두다 들어가다 꾸미다 늘다 줍다 앞두다 들려주다 해주다 살아가다 잖다 해드리다 잖다 듣다 지다 들다 커지다 돋보이다 들다 자다 어울리다 들다 들다 바라다 바라다
1176,Hi-Life,Various Artists,떠올리다 떠오르다 싶다 늘다 만들다 보여주다 크다 느껴지다 가지다 들다 살아나다 놓이다 들다 해내다 놓치다 싶다
1177,The Star - Original Motion Picture Soundtrack,Various Artists,담다 찾아오다 추워지다 따다 차다 느끼다 그리다 주다 떠나다 담다 밝다 들썩이다 빠져들다 자다 녹이다 내다 빠져들다 담다 내다 늘다 가다 부르다 늘다 느끼다 주다 느끼다 듣다 자다
1178,1집 : Rap Legend,수퍼비,오다 모으다 비다 싶다 맞추다 돋보이다 높아지다 느끼다 치다 다가오다 말다 뻗다 나가다 맞닿다 나다
1179,비공식적 기록 II,JJK,늘다 차다 늘다 빼놓다 풀다 내다 담다 쏘다 담기다 지치다 자다 잡히다 심다
1180,"HELLO, MY NAME IS INSECURE.",A.TRAIN(에이트레인),해오다 드러내다 해내다 끌다 들이다 오다 담다 싶다 얻다 베다 자다 어우러지다 맞추다 살아나다 늘다 찍다
1181,One More Light Live,Linkin Park(린킨 파크),담기다 두다 담기다 해내다 맞추다 채우다 돼다 열다 오다 오다 품다 자다 드러나다 만들다 실리다 받다 오다 불다 오다 늘다 담다 내다 쉬다 느끼다 추다 어리다 자다 시달리다 거두다 싸우다 거치다 지니다 불다 오다
1182,MOONRISE,DAY6 (데이식스),들다 전해지다 내려오다 깨다 되어다 나다 거치다 즐기다 받다 보여주다 선보이다 늘다 선보이다 오다 가다 받다 잡히다 오다 보여주다 메다 남기다 추다
1183,탑승수속,오케이션(Okasian),여유롭다 깨우다 드러내다 알다 만들다 갖추다 갖추다 가다 막다 선보이다 뽐내다 선보이다 채우다
1184,젊은이,유하,걸리다 더불다 되돌아보다 가지다 선보이다 풀다 살아가다 느끼다 자아내다 지니다 담다 품다 기다
1185,Snow,Angus & Julia Stone(앵거스 앤 줄리아 스톤),맺다 느껴지다 개다 보여주다 잡다 만들다 내다 오다 늘다 만들다 기르다 갖다 들려주다 보여주다 떨어지다 흐르다 찾다 기다 돌아가다 만들다 돌아가다 나누다 해오다 보여주다 담다 내다 늘다 채우다 들썩이다 만들다 다가오다 느끼다 되어다 전해지다 다가오다 떨어지다 가져오다 들려주다
1186,Close To You,김주환,잃다 이끌다 오다 부르다 부르다 이어지다 듣다 가다 흐르다 느껴지다 녹이다 빌다 빌리다 받다 되어다 빌다 만들다 붙이다 즐기다 부르다 빌다 부르다
1187,2 4 : 2 6,빈지노(Beenzino),나아가다 쥐다 얽히다 녹이다 내다 불러일으키다 풀다 내다 오다 써다 내리다 늘다 사로자다 도드라지다 어우러지다 비다 만들다 내다
1188,Dancing Without Moving,고희안 트리오(KoHeean Trio),보여주다 떠나다 이끌다 기다 쉬다 해내다 펼치다 가다 가지다 가지다 바꾸다 담다 맡다 맞추다 타고나다
1189,Winter Magic,Hilary Stagg,듣다 쏟아지다 나오다 접다 알리다 써다 익히다 알려지다 내놓다 나오다 익숙해지다 익숙해지다 들다 달라지다 들다 쓰다 맞다 듣다 보내다 싶다
1190,The Orange,빌리카터(Billy Carter),빌리다 담다 빌리다 나오다 빌다 담기다 치다 빌리다 갖추다 막다 두다 써다 내다 빌리다 빌리다 다루다 흔들다 받다 이어지다 긁다 이어지다 차다 짜이다 들다 나오다 갖다
1191,치명적인 앨범,기리보이,자다 입다 받다 지니다 해내다 드러내다 담다 겪다 들다 듣다 더불다 어우러지다 느끼다 들리다 자다 알다
1192,She Is Seventeen,버닝 햅번(Burning Hepburn),만들다 내다 들다 갖추다 녹다 가리키다 내려앉다 바뀌다 쓰다 비다 바치다 들리다 흐르다 먹다 넓어지다 넘다 받아들이다 채우다 떨어지다 들다 많아지다 끌다 내다 다시다 돌아오다 만들다 해오다
1193,Don't Worry,허규,쌓다 쌓다 흐르다 끌다 잡히다 들려주다 거치다 바라다
1194,M.O.B,노이즈맙(Noise Mob),새다 주고받다 들다 늘다 놓다 놓다 튀다 배다 선보이다 깔다 내다 튀다 느끼다
1195,종현 소품집 '이야기 Op.2',종현 (JONGHYUN),빛나다 허다 알다 알다 따르다 부르다 들다 지치다 느끼다 받다 대다 받다 싶다 싶다 느끼다 느끼다 담다 놓다 주다 듣다 들이다 놓다 다독이다 주다 주다 담기다 짓누르다 담기다 놓다 담다 나르다 놓다 싶다 싶다 들다 받다 나오다 주다 내다 쉬다 쓸다 버리다 모르다 알다 느끼다 들다 빛나다 내다 치다 나다 배우다 싶다 사다 담다 보내다 살다 들어가다 만들다 듣다 쓰다 되어다 주다 주다 받다 자다 알다 추다 가다 조심하다 바라다
1196,"열꽃, Part 1",타블로(Tablo),들어가다 치르다 나오다 크다 받다 받다 늘어놓다 가라앉다 해내다 담다 담다 담다 읽다 들다 도르다 드러내다 듣다 받다 싶다 끄다
1197,Alone,iwamizu(이와미즈),녹이다 해내다 지다 선보이다 다듬다 담다 내다 나다 묶다 내다 나다 들이다 누르다 누르다 내리다 되어다 이루다 녹이다 내다 녹이다 쉬다
1198,Waiting To Exhale (Original Soundtrack Album),Various Artists,다루다 늘다 되어다 해주다 선보이다 이끌다 모이다 늘다 넘다 팔리다
1199,Master Of Puppets (Deluxe Box Set / Remastered),Metallica(메탈리카),나오다 살펴보다 떨치다 세다 때리다 울리다 크다 잃다 풍기다 판치다 벌주다 배다 두다 붙이다 불리다 되어다 해내다 잡다 거치다 오다 풀다 맞추다 만지다 나오다 얻다 차다 뽑히다 잡히다 모르다 나오다 나오다 보내다 받다 벗어나다 되어다 이어지다 들다 그치다 해내다 받다 사다 가다 실리다 울리다 만들다 비다 펴다 늘다 울리다 이루다 몰다 오다 되어다 흔들다 대다 부서지다 늘다 남다 늘다 일컫다 피우다 갇히다 다루다 되어다 붙이다 가다 끌리다 가하다 더불다 크다 나오다 가다 들어오다 크다 잡다 넘다 기르다 울리다 만들다 쉬다 맞다 넘어서다 오다 만들다 깨다 늘다 세다 받다 돌아오다 받다 내다 부르짖다 오르내리다 흐르다 바뀌다
1200,Groove Theory,Groove Theory(그루브 씨어리),어리다 어리다 어리다 받다 품다 들다 받다 맞닿다 드러나다
1201,Her,DPR LIVE,녹다 내뱉다 흐르다 들어오다 해주다 해오다 달래다 주다 웅성거리다 듣다 늘다 들려오다 들려주다 피다 보여주다 늘다 느끼다 기다 모르다 들다 만들다 싶다 돋보이다 늘다 나오다 녹이다 찍다 들려오다 늘다 오다 높이다 들다 들다 풀다 내다 해보다
1202,Faith,Faith Evans(페이스 에반스),늘다 살리다 허다 갖추다 삼다 가로지르다
1203,Waves,Rachel Platten(레이첼 플랫튼),틀다 틀다 건네다 빛나다 틀다 밝다 적다 받다 따다 담기다 담다 더불다 빌리다 지다 늘다 오다 끊다 보듬다 나가다 딛다 일어서다 두다 아끼다 늘다 담다 갖추다 뛰어넘다 들려주다 잡다 곱씹다 즐기다 집어넣다
1204,Reflections,After 7(애프터 세븐),가다 나오다 만들다 잡다 가져다주다
1205,Heavy Deep,딥플로우,서다 담다 앞서다 나오다 흔들다 서다 삼다 생기다 놀다 세다 오다 드러내다 듣다
1206,위대한 쇼맨 (The Greatest Showman) OST,Various Artists,오다 넘다 다루다 맡다 잡다 넘다 넘다 담다 담다 내다 만들다 듣다 박히다 만들다 내다 만들다 닮다 잊다 가다 오다 담기다 모이다 오다 내다 놓다 오다 놓치다 돼다 주다 받다 채다 넘다 담기다 넘다 자다 어울리다 모자라다 내리다
1207,Upgrade Ⅱ,스윙스(Swings),보여주다 선보이다 늘다 보여주다 들려주다 들려주다 그치다 날다 버리다 돼다 담다 내다 기다 돌아보다
1208,Brown Sugar,D'Angelo(디안젤로),알다 받다 가지다 기다리다 지니다 만들다 받다 섞다 만들다 선보이다 듣다 틀리다 배우다 선보이다
1209,GD&TOP,GD & TOP,크다 지니다 자다 돋보이다 가다 보여주다 보여주다 스며들다 떨어지다 펴다 보여주다 크다 지니다
1210,상사몽(相思夢) - 모던 가야금,정민아,흘러나오다 듣다 듣다 되어다 흘러나오다 사로자다 모르다 들다 떠올리다 찾다 들다 들어오다 서다 느껴지다 들다 되어다 부르다 즐기다 듣다 되어다 새다 새다 되어다 되어다 싶다 주다 주다 느끼다 해주다 되어다 만나다 주다 들려주다 듣다 들다 들리다 들다 그리다 만나다 바라다 주다 느껴지다 만들어지다 듣다 듣다 들다 싶다 들다 빠지다 들다
1211,Lifes Like,재지팩트(Jazzyfact),알다 오다 두다 만들다 흐르다 주다 해내다 디지다 해내다 흔들다 앉다 말다
1212,This Is How We Do It,Montell Jordan(몬텔 조단),늘다 사다 다루다 만들다 알다 가다 늘다
1213,Garion 2,가리온(Garion),자아내다 해오다 쌓다 가다 도르다 늘다 선보이다 오다 놓다 담기다 거치다 이어지다 불다 넘다 크다 남다
1214,Illvibrative Motif,재지 아이비(Jazzy Ivy),재다 바치다 재다 알려지다 재다 해오다 듣다 안기다 늘다 자르다 가지다 차다 늘다 빌리다 재다 빌리다 알아듣다 살다 담다 바치다 재다 모르다 들다 들려주다 싶다 들리다 심다
1215,City Music,Kevin Morby(케빈 모비),늘다 지니다 모으다 다녀가다 나다 되어다 지내다 오다 남다 되어다 버리다 쫓아가다 살아나다 거치다 해오다 오다 인정받다 되어다 들려주다 들어오다 머무르다 그리다 보여주다 남겨지다 느끼다 사무치다 묻다 늘다 보이다 돌아가다 싶다 나가다 듣다 느껴지다 모르다
1216,Microsuit,펜토(Pento),서다 가지다 되어다 가지다 주다 밝혀지다 가다 만들다 깔다 놓치다 느껴지다 늘다 심다
1217,Perfect Velvet - The 2nd Album,Red Velvet (레드벨벳),뜨다 들다 들이다 떠나가다 나타나다 싶다 내버리다 나타나다 찾아보다 내놓다 흔들다 선보이다 크다 나가다 보이다 잃다 불다 흔들다 돌다 돌다 들다 내미다
1218,Go Easy,버벌진트(Verbal Jint),가다 불다 가다 가다 섞다 내다 이루어지다 늘다 빌리다 내다 주다 만들다 만들다 내다 섞이다 빼다 풀다 내다 벌다 벗다 늘다 벗어나다 되어다 심다
1219,Serenity,신혜성,들다 즐기다 새다 지나가다 버리다 담다 되어다 만나다 자다 담다 떨어지다 자다 어울리다 늘다 느끼다 채우다 되어다 흐르다 돌리다 놓다 오다 가다 머물다 듣다 느끼다 녹다 오다 얼다 치다 맛보다 지다 오다 바라보다 듣다 생각나다 해보다 오다 찾아가다 생각나다 쓰이다 자다 담다 오다 느끼다 가버리다 오다 앉다 들다 느끼다 따다 가다
1220,Quiet Storm - A Night Record,The Quiett,빛나다 잇다 담기다 이끌다 뽐내다 담다 가지다 늘다 크다 더불다 모이다 만들다 보이다 꺼내다
1221,Under The Influence (Ultimate Edition),Straight No Chaser(스트레이트 노 체이서),싶다 섞이다 내다 이루어지다 들려주다 나뉘다 들어가다 주다 알려지다 부르다 다가오다 들다 주다 받다 일어나다 풀다 내다 섞이다 즐기다
1222,Humanoid / Hypnotica,마이노스(MINOS) & 뉴올(Nuol),늘다 넘다 들다 태어나다 바라보다 만들다 내다 밝다 담다 빌리다 뭉치다 찍다 바라보다 늘다 되어다 심다
1223,Who Built The Moon?,Noel Gallagher's High Flying Birds(노엘 갤러거스 하이 플라잉 버즈),지다 지나다 대다 여겨지다 지나다 느끼다 모르다 개다 찾아가다 소리치다 개다 흐르다 오다 되어다 가다 개다 만들다 개다 내다 거두다 해오다 개다 가다 맡다 나오다 돼다 보여주다 거치다 늘다 개다 거치다 숨다 득실대다 파이다 개다 넣다 걸치다 펼쳐지다 늘다 오다 보여주다 되어다 뜯다 개다 찢어지다 가려지다 가다 담다 알다 듣다 따르다 부르다 개다 나오다 개다 들려주다 돋보이다 개다 늘다 자다 보여주다 깔다 개다 주다 숙이다 듣다 묻다 나다 떠오르다 선보이다 개다 들려주다 늘다 떠올리다 만들다 쓸다 싶다 반기다 개다 보여주다 개다 해보다 개다 내미다 따르다 불다 쌓다 나오다 만들다 개다 어리다 가다 되어다 만들어지다 느끼다 해주다 개다 벗어나다 지나다 들다 오다 끝나다 나오다 나다 개다 먹다 들다 모르다 오다
1224,Just The Beginning,Grace VanderWaal(그레이스 밴더월),배다 빛나다 배다 허다 배다 쥐다 알리다 어리다 써다 오다 사로자다 늘다 팔리다 보여주다 밝다 느껴지다 묻다 나다 배다 갖추다 보여주다 되어다 늘다 배다 가지다 느끼다 속삭이다 어우러지다 들어서다 배다 이루다 허다 느끼다 배다 느끼다 해내다 풀다 빛나다 보여주다 배다 들다
1225,Bonafide,Jon B.(존 비),부르다 여겨지다 늘다 자다 비다 받다 만들다 담기다 늘다 가다 떠오르다 도드라지다 오다 비다 놓치다 보이다 심다
1226,Song Book - Play With Him,윤상,부르다 크다 모으다 모으다 불다 만들다 만들어지다 되돌아보다 갖다 만들다 싶다 크다 지니다 지다 넘다 되돌아보다 틀어주다 흐르다 해내다 알다 알다 끄다 들어가다 집다 돌리다 되어다 버리다 끝나다 나서다 알다 바꾸다 넘다 싶다 열리다 되어다 들다 싶다 들려주다 들다 들다 부르다 모이다 이루다 묻히다 늦다 켜다 두드리다
1227,Do You Wanna Ride,Adina Howard(아디나 하워드),늘다 가다 떠올리다 들리다 다다르다 가져오다 가져오다 늘다 가져오다 벗어나다 추다
1228,Kaskade Christmas,Kaskade(캐스케이드),느끼다 불러일으키다 들다 빗나가다 맞다 늘다 느끼다 주다 어리다 반짝이다 맞추다 들다 붙이다 틀다 적다 적다 남겨지다 끄다
1229,Anthropocene,Peter Oren,오다 인정받다 서다 찾아보다 만들다 두다 추다 내다 내려앉다 품다 해내다 보이다 스며들다 오다 닿다 느껴지다 살아가다 담다 묻다 늘다 다가오다 담다 듣다 빌다 떠올리다 베다 드러나다 다가오다 전해지다 닿다 모르다 담다 사라지다 다독이다 어루만지다 사라지다
1230,Red Pill Blues [Deluxe Edition],Maroon 5(마룬 파이브),부르다 담기다 부르다 무너지다 커지다 끄다 집다 즐기다 쉬다 버리다 받다 비다 지나다 쉬다 되어다 버리다 쉬다 되어다 버리다 들다 더불다 들다 보이다 흐르다 받다 깎다 받다 해주다 실리다 받다 만들다 되어다 받다 오다 늘다 누르다 밟다 만들다 내다 보이다 감다 추다 줄어들다 더불다 터뜨리다 고르다 다지다 올려놓다 쉬다 오다 끊다 만나다 선보이다 일으키다 얻다 싶다 믿다 싶다 믿다 되어다 믿다 뚫다 해주다 나타나다 나가다 오다 선보이다 해오다 크다 늘다 선보이다 읽다 알려지다 가다 드러내다 들이다 받다 보이다 들이다 늘다 오다 선보이다 선보이다 담다 늘다 넘실대다 보여주다 담다 이어지다 늘다 담다 늘다 담다 담기다
1231,From The Bottom Up,Brownstone(브라운스톤),들다 가다 녹다 들어오다 걸다 늘다 보이다 쓸다 오다 가다
1232,My Life,Mary J. Blige(메리 제이 블라이즈),세우다 보여주다 늘다 두다 맞추다 끊다 늘다 돼다
1233,Crazysexycool,TLC(티엘씨),남기다 가져가다 되어다 돌아오다 붙다 돌이키다 갖다 가지다 올려놓다 비치다 내보이다 따르다 피우다 맞다 놓다 빠지다 바라다 얼룩지다 쌓이다 내려놓다 보이다
1234,The Darkwave Disco,블랙언더그라운드(The Black Underground),해보다 오다 살아가다 들다 꿈꾸다 느껴지다 움직이다 메다 맴돈다 읊조리다 가지다 늘다 보여주다 몰다 붙이다 오다 듣다 늘다 모여들다 보여주다
1235,Issa Album,21 Savage(21 새비지),가다 해오다 해오다 얹다 오다 파다 벌다 심해지다 풀다 내다 살다 늘어놓다 늘다 살아가다 두다 잡다 들어가다 끌다 적다 알다 다루다 넣다 늘다 받아들이다 해오다 베다 해오다 맞다 만들다 잡다 뒤지다 기대다 자다 드러나다 풀다 내다 나오다 잡다 가져가다 담다
1236,Straight Life,송하철,받다 빛나다 틀다 놓다 듣다 들다 태어나다 되어다 떠나다 이어지다 되어다 거치다 만들다 보여주다 가다 이어지다 담기다 거치다 늘다 내다
1237,Beautiful Trauma,P!nk(핑크),모르다 오다 맞추다 나가다 받다 도르다 갖추다 드러내다 해내다 주저앉다 해내다 해내다 돌아오다 치다 만들다 느껴지다 던지다 담기다 들어서다 들어오다 되어다 돋보이다 담다 늘다 오다 오다 크다 거두다 불다 겪다 느끼다 담다
1238,The Whistleblowers,David Linx & Paolo Fresu(파올로 브레수) & Diederik Wissels,오다 맞추다 이끌다 가다 만들다 내다 들려주다 부르다 주다 불러일으키다 늘다 보여주다 흩다 듣다 나다
1239,Rhythm Of Love,Anita Baker(아니타 베이커),들다 비다 남기다 끝나다 놓치다 바뀌다 잊혀지다 담기다 들려주다 늘다 떠나다 기다
1240,Changing Faces,Changing Faces(체인징 페이시즈),넘어가다 받다 만들어지다 보여주다 가다 늘다 놓이다 만들다 선보이다 가로서다 다지다
1241,Body And Shadow,Brian Blade(브라이언 블레이드) & The Fellowship Band,멈추다 보여주다 오다 쉬다 이끌다 늘다 선보이다 주다 맡다 크다 메다 보여주다 쉬다 도드라지다 쓰다 느껴지다 지나가다 오다 맡기다 따라가다 들다 끌리다 녹이다
1242,은하수,정밀아,살아가다 느끼다 줍다 담다 만들다 담다 새기다 꼽히다 헤어지다 얻다 살아가다 건네다 쏟아지다 빼앗다 알아듣다 돌아오다 부리다 날다 파고들다 자아내다 가다 놓다 추다 이루다 비다 얹다
1243,37B,러브엑스테레오(Love X Stereo),늘다 선보이다 선보이다 밝다 이루다 갖추다 사로자다 받다 풍기다 늘다 돋보이다 오다 추다 받다 밝다
1244,Greatest Hits: God's Favorite Band,Green Day(그린 데이),기다 가다 나오다 내놓다 늘다 기르다 늘다 늘다 담다 내다 가다 넘다 만나다 모자라다 늘다 빌리다 오다 기다 박히다 오다 빠지다 기다 만나다 늘다 뽑다 자다 담다 내다 서다 바라보다 내다 해내다 달려오다 기다 해오다 소리치다 오다 받다 가져가다 모자라다
1245,Poppy.Computer,Poppy(파피),알리다 오다 받다 받다 꿈꾸다 보이다 들다 보이다 선보이다 오다 오다 아우르다 선보이다 돋보이다 풀다 크다 받다 갖다
1246,II,Boyz II Men(보이즈 투 맨),메다 크다 보이다 끌리다 잡히다 세우다 불다 치우다 불다 크다 누리다
1247,I Ain't Movin',Des'ree(데지레),자다 모르다 읽다 모르다 들다 오다 쓰이다 남기다 받다 펼치다 선보이다 드러내다 담기다 들이다 들다
1248,Seal,Seal(실),두다 선보이다 얻다 오다 선보이다 걸다 살리다 들려주다 들려주다 되어다 받다 되어다 오다
1249,재건축,VIANN x KHUNDI PANDA,이끌다 가다 들다 갖추다 잡다 살리다 돋보이다 배다 맞다 물리다 느껴지다 깔다 움직이다 만들다 내다 돋보이다 두다 드러내다 자다 살리다 만나다 받다
1250,"Heart, Mind & Soul",El DeBarge(엘 드바지),늘다 지니다 옮기다 비다 따르다 맡다 크다 선보이다 더불다 되어다
1251,KARMA,jeebanoff (지바노프),쥐다 해오다 늘다 겪다 담다 늘다 늘다 담다 헤어지다 배다 나아가다 이루다 들다 빛나다
1252,THE CODE,몬스타엑스(Monsta X),차이다 알려지다 들어서다 되어다 늘다 보여주다 자다 담다 늘다 만들다 자다 나타나다 자다 모르다 보여주다 해오다 느껴지다 늘다 들다 마치다
1253,Birds And The Bee9,Sampa The Great(삼파더그레이트),자다 만들다 만나다 대다 떨어지다 머무르다 크다 만들다 내다 겪다 닿다 조이다 뱉다 넘다 오다
1254,All-4-One,All-4-One(올 포 원),오다 메다 메다 받다 이어지다 메다 해내다 늘다 드러내다 가다 자다 알려지다 올라가다 채우다 느끼다 불다 두다 불다 담다 내다
1255,Reservoir,Gordi,품다 부르다 담다 묻다 지니다 이끌다 지니다 틀다 지니다 전해지다 거치다 만들어지다 알아보다 지치다 잡다 느껴지다 겪다 만들다 내다 풀다 내다 만들어지다 쌓이다 드러내다 늘다 닮다 늘다 풀다 내다 해오다 가다 올리다 늘다 늘다 되어다 이어지다 늘다 만들다
1256,Pronounced Jah-Nay,Zhane(자네이),불다 오다 이루어지다 쉬다 지다 잡다 주다 지다 오다 자다 드러나다 밟다
1257,이소라 7집,이소라,자다 어울리다 드리다 어울리다 집다 되어다 되어다 담다 듣다 따다 만들다 돋보이다 더불다 주다 돋보이다 드리다 지나가다 들다
1258,Diary Of A Mad Band,Jodeci(조데시),오다 붙이다 적다 울렁대다 깔다 거치다 오다 갈구다 부르다 가져가다 채우다 입다
1259,Standards (Deluxe),Seal(실),들려주다 담다 깔다 크다 갖추다 거치다 가다 거두다 들다 만들다 되어다 해보다 가다 잡다 되어다 들다 해보다 세다 되어다 가다 들려주다 비다 보이다 더불다 허다 그려지다 붙다 고르다 거두다 나오다 끄다 담다 두다 들다 자르다 담기다 크다 가지다 해오다 잡다 담기다 되어다 풍기다 맞추다 가져가다 드러내다 보여주다 깔다 크다 어리다 해오다 보여주다 들려주다 자다 담기다 담기다 달라지다 담다 내다 치다 담다 내다 싶다 들려주다 자다 자다 따르다 들다 찾다 가하다 듣다 두다 끄다 일컫다 가다 가다 일컫다
1260,R A I N B O W,도넛맨(Donutman),들다 들다 맞다 들리다 읊조리다 닮다 쉬다 다가가다 느끼다 자다 느끼다 벗어나다 느끼다 느껴지다 느끼다 느끼다 듣다 떠오르다 들어가다 오다 쓸다 내다
1261,12 Play,R. Kelly(알 켈리),느끼다 늘다 끄다 맺다 넘어서다 가다 되어다 던지다 지다 담기다 돼다 저물다 끌다 오다
1262,ATTUNE,Lenka(렌카),들다 부르다 돌아오다 느껴지다 만들다 듣다 나아지다 크다 느끼다 말다 보이다 오다 거닐다 듣다 듣다 들다 살리다 만들다 갖다 거치다 누르다 가지다 싶다 받다 들려주다 늘다 해내다 따르다 듣다 생각나다
1263,I'm Ready,Tevin Campbell(테빈 캠벨),어리다 엿보다 들다 살다 얻다 늘다 담기다 돼다 부르다 떠올리다 늘다 담기다 자다 어리다 엿보다
1264,"모든 삶은, 작고 크다",루시드폴,담다 드리다 자다 알려지다 삶다 크다 가다 돌아오다 선보이다 들다 돋보이다 가지다 농사짓다 들다 담기다 느끼다 싶다 들다 읽다 드리다 죽다 묻다 돌아오다 만들다 되어다 싶다 추다 들다
1265,Hummin' Comin' At 'Cha,Xscape(엑스케이프),쏘다 쏘다 알리다 입히다 크다 씌우다 오다 이기다 들리다 자다 녹다
1266,Everyday is Christmas (Deluxe Edition),Sia(시아),익다 익다 바꾸다 만들다 늘다 내놓다 알리다 내리다 파다 맞추다 써다 나가다 입히다 오다 올려놓다 내다 떠올리다 배다 나오다 만들다 들리다 거치다 놓다 보이다 흘러나오다 만들다 내다 듣다 들다 메우다 돌아오다 들어오다 찾다 늘다 믿다 듣다
1267,Music For Tourists,Chris Garneau(크리스 가르노),가르다 느껴지다 꺼내다 입다 말다 만들다 길어지다 익숙해지다 자다 들리다 느끼다 새우다 모자라다 감추다 두다 속삭이다 가르다 늘다 닿다 드러내다 그만두다 살아가다 기르다 만들다 그리다 내다 깜빡이다 꺼지다 남다 접다 일으키다 늘다 가르다 알리다 이끌다 속삭이다 늘다 받다 해오다 받다 밝히다 살다 오다 가르다 듣다 만들다 되어다 바르다 살다 적다 해주다 들다 들다 빠져들다 오다 늘다 가르다 늘다 전해지다 오다 느껴지다 일으키다 흐르다 돌아보다 아물다 드러내다 거치다 삶다 들다 추다
1268,janet.,Janet Jackson(자넷 잭슨),오다 느끼다 늘다 크다 찍다 삼다 올리다 오다
1269,Morning After,dvsn,스며들다 비다 되어다 잡아가다 오다 띄다 들려주다 들다 느껴지다 띄다 이어지다 도르다 높이다 싶다 오다 늘다 드러나다 가라앉다 싶다 버리다 싶다 비다 기다리다
1270,Passion,Regina Belle(레지나 벨),빠지다 서다 부르다 부르다 받다 입다 선보이다 늘다 부르다 넘다 이루다 따라가다 돋보이다
1271,Neo Wax Bloom,Iglooghost(이글루고스트),듣다 나다 떠오르다 펼쳐지다 뿌리다 내다 덧붙이다 자다 알다 자다 섞다 만들다 끝나다 기울이다 얻다 이루다 내다
1272,If I Ever Fall In Love,Shai(샤이),받다 두다 보이다 적다 자다 따르다 오다 가다 늘다 가다 잇따르다 입다 넘다 팔다 나가다 남다
1273,Lose Control,Silk(실크),알리다 떠오르다 들어서다 챙기다 찾다 만들다 돋보이다 오다 도드라지다 맞다 갈구다 넘어가다
1274,Training Zombie,뉴챔프,돌아오다 돌아오다 올리다 오다 듣다 쓰다 꾸다 꾸다 가지다 들어가다 보여주다 놀리다 비추다 되어다 뱉다 내다 크다 들이다 내다 늘다 늘다 보여주다 들다 만들다 배다 뱉다 웃기다 자다 자다 살리다 만들다
1275,Jade To The Max,Jade(제이드),빛나다 오다 내놓다 오다 베다 가다 다듬어지다 빛나다
1276,보디가드 (The Bodyguard),Various Artists,넘다 팔리다 늘다 지니다 뽐내다 가다 들다 만들다
1277,It's About Time,SWV,오다 더불다 내놓다 늘다 만들다 이끌다 받치다 안기다 오다 빼놓다 가로지르다 만들다 내다
1278,Love Deluxe,Sade(샤데이),늘다 울다 보여주다 늘다 담기다 잇다 엿보다 담다 내다 담기다 남다
1279,What's The 411?,Mary J. Blige(메리 제이 블라이즈),늘다 앞두다 빠지다 여겨지다 빠지다 만들다 덜다 선보다 흐르다
1280,Colors,BECK(벡),달구다 가지다 얻다 떠올리다 펼치다 내다 일구다 내다 기대다 달구다 늘다 받다
1281,Boomerang,Original Sound Track,남기다 맡다 담기다 뭉치다 오다 들다 알리다 되어다 알리다
1282,Higher,Albert Posis,늘다 가다 나오다 모으다 들다 남다 어우러지다 사로자다 되어다 만들다 듣다 나오다 끌다 담기다 자다 나타내다 들다 들다 느끼다 바라다 찾다
1283,Funky Divas,En Vogue(엔보그),올라가다 쌓다 따르다 키우다 들다 집다 삼키다 크다 거두다 늘다 드러내다 담다 따르다 갈아입다 맞다 가다 심다
1284,HISTORY,센티멘탈 시너리(Sentimental Scenery),쓰이다 받다 받다 적다 매달리다 부르다 짓다 달라지다 채우다 걷다 맞다 입다 느끼다 달라지다 그치다 자다 피우다 내다 돌아오다 찾다 펼치다 치다 짓다 나누다 크다 늘다
1285,Dangerous,Michael Jackson(마이클 잭슨),들다 벗어나다 녹이다 오다 잡다 만들다 내다 늘다 잊어버리다 오다 뽐내다 담다 늘다 맞다 보여주다 가지다
1286,Real Love,Lisa Stansfield(리사 스탠스필드),늘다 받다 나오다 오다 만들다 나오다 크다 거두다 만들다 비다 크다 받다 어리다 받다 길어지다 만들다 멀어지다
1287,Full Album RED PLANET,볼빨간사춘기,알리다 받다 되어다 튀다 받다 쓸다 들다 오다 닿다 해봤다 듣다 차다 읽다 쓰다 나오다 따르다 들다 들다 들다 자다 어울리다 해보다 들다 버리다
