,album titles,artists,cleaned_sentences
26,Such Pretty Forks in the Road,Alanis Morissette(앨라니스 모리셋),나오다 자다 맞다 느껴지다 되어다 버리다 주다 흐르다 가까워지다 들리다 던지다 두다 보이다 다루다 늘다 터지다 일어나다 터뜨리다 속삭이다 자다 찾다 엿보다 대다 돌아보다 달리다 돌아보다 살피다 나오다 들다
27,Women In Music Pt. III,HAIM(하임),메다 얹다 늘다 보여주다 개다 해내다 훔치다 늘다 넓어지다 아우르다 받다 해내다 오다 돋보이다 몰아치다 가라앉다 번뜩이다 넘어서다
28,Dinner Party,Terrace Martin(테라스 마틴) & Robert Glasper(로버트 글래스퍼) & 9th Wonder & Kamasi Washington(카마시 워싱턴),뭉치다 만들다 돼다 돼다 보여주다 넘다 들다 쌓다 들려주다 뭉치다 살펴보다 채우다 깔다 남다 채우다 녹다 들다 키우다 뭉치다 지치다 달래다 만들다 내다
29,RoundAgain,Joshua Redman(조슈아 레드맨) & Brad Mehldau(브래드 멜다우) & Christian McBride(크리스찬 맥브라이드) & Brian Blade(브라이언 블레이드),메다 쓰다 모이다 만들다 믿다 듣다 불다 모으다 메다 쓰다 되어다 모이다 들다 올리다 되어다 되어다 멈추다 건지다 모르다 떠오르다 만나다 되어다 만들다 따오다 만들다 메다 만들다 째다 늘다 돌다 보여주다 알려지다 믿다 늘다 떠올리다 늘다 메다 늘다 오가다 되어다 나오다 가다
30,"속꿈, 속꿈",신해경,해내다 그치다 늘다 오다 크다 잇다 알리다 이어지다 받다 밝히다 보여주다 선보이다 메다 자아내다 넘다 들다 피다 어울리다 빛나다 해내다 해보다
31,4,펜토(Pento),이루어지다 바라다 만들다 쥐다 거치다 앞세우다 이끌다 내다 되어다 버리다 늘다 서다 줄다 벗어나다 엿보다 띄다 담기다 헤어지다 앞두다 밀리다 드러내다 가다 나오다 들다 꺾다 걷다 적다 주다 바치다 더불다 이루어지다 즐기다 늘다 이루어지다 바라다 만들다
32,What's Your Pleasure?,Jessie Ware(제시 웨어),묶다 놓다 가다 해내다 맞다 펼치다 가다 달구다 놓다 부르다 지치다 가다 걸리다 내놓다 기다리다
33,TELEKID; on marble,레인보우 99(Rainbow 99) & NWIT,즐기다 내다 내다 가다 지다 돼다 모르다 낮아지다 자다 맞다 알다 만들다 듣다 즐기다 주다 싶다
34,Lilac Hill,김수경,느껴지다 떠나다 오다 옮기다 빠지다 되어다 배우다 빠져들다 들려주다 받다 부르다 가지다 흩어지다 그려지다 오다 자다 어울리다 떠오르다 담다 던지다 바라다 내다 채우다
35,Petals For Armor,Hayley Williams(헤일리 윌리엄스),만들다 내다 찾다 걸어오다 겪다 살아오다 써다 내다 드러내다 나아가다 보여주다 늘다 뒤틀리다 추다 오다 가다 부각시키다 올리다
36,RTJ4,Run The Jewels(런 더 주얼스),일어나다 불러일으키다 되어다 담다 늘다 보이다 터지다 이루어지다 해오다 들이다 갖다 놀다 뒤틀다 잃다 부르다 꽂다 넣다 나누다 생기다 쉬다 앉다 해오다 해보다 싶다 늘다
37,how i'm feeling now,Charli XCX(찰리 엑스씨엑스),듣다 알다 늘다 짚다 버리다 펼치다 내다 늘다 기대다 내다 잡히다 쓰다 가져다주다 선보이다 두르다 쉬다 빠져들다 듣다 싶다
38,daydream,ABTB,늘다 자다 들다 나오다 즐기다 빌리다 오다 뒤틀리다 되어다 넘다 가져오다 보여주다 흘러내리다 말다 늘다 드러내다 나타내다 먹이다 들리다 만들다 거치다 짚다 넘어가다 흔들다 밝히다 느껴지다 가지다 꺼내다 늘다 쥐다 흔들다 대다
