,album titles,artists,cleaned_sentences
103,DEFINITION OF METHOD,메써드(Method),
104,Connexion [Jamais vu Remix],KONA,
105,살아 (SARA),얼돼(Errday Jinju),특히 그만큼
106,Your Portrait,강윤미,오랜 많이
107,Purpose - The 2nd Album,태연 (TAEYEON),그만큼 한발
108,Everyday Life,Coldplay(콜드플레이),그건 많이
109,Good Faith,Madeon(마데온),
110,The Baker,비앙(Viann),언제나 많이
111,나의 놀이터,강현규,오래
112,나의 모양,권진아,특히
113,항해,AKMU (악동뮤지션),한발 그야말로 특히
114,곡면,동양고주파,가히
115,999,전국비둘기연합,틀림없이 없이 오랫동안
116,37C,러브엑스테레오(Love X Stereo),특히
117,Limbo,Gill Chang,없이
118,리듬 + 플로우(Rhythm + Flow Soundtrack: The Final Episode) (Music from the Netflix Original Series),Various Artists,특히 아무리 아직
119,KAIROS,Nicole Bus,이미 그만큼 특히
120,Trilogy 2 (Live),Chick Corea(칙 코리아) & Christian McBride(크리스찬 맥브라이드) & Brian Blade(브라이언 블레이드),그해
121,Don't Explain,김민희,이미 특히 없이 특히 어디서
122,Pang,Caroline Polachek,
123,Wildcard,Miranda Lambert(미란다 램버트),
124,Ocean,Lady Antebellum(레이디 앤터벨룸),없이
125,All Mirrors,Angel Olsen(엔젤 올슨),아직 그야말로
126,Giants of All Sizes,Elbow(엘보우),특히 그중
127,Jeff Lynne's ELO - From Out Of Nowhere,Jeff Lynne's ELO,그해 그만큼 꽉꽉 뜬금없이
128,PRINCESS CATGIRL,Cashmere Cat(캐시미어 캣),많이
129,Cheeks & Lips,꼴라(CCOLA),한때
130,CODE#03 SET ME FREE,레이디스 코드(LADIES' CODE),이미
131,Sobrightttttttt,sogumm,그야말로 없이 없이
132,After Darkness,Sh8peshifter,아직 많이 그만큼 특히 우연히
133,Retropolitan,Skyzoo & Pete Rock(피트 락),없이 특히
134,Gunsan Gaka,Trio Works,많이 오래전
135,Blue World,John Coltrane(존 콜트레인),특히 그해
136,Common Practice (Live At The Village Vanguard / 2017),Ethan Iverson Quartet,많이 게을리 자연스레 오랜
137,Someone's EP II,Baynk,조금씩 그만큼
138,Saves The World,MUNA(무나),특히
139,The Highwomen,The Highwomen,
140,The Nothing,Korn(콘),한동안 조금씩
141,국보3호(國寶三號),Various Artists,적어도
142,In Cauda Venenum,Opeth(오페쓰),아직도 그건
143,화기엄금,사이먼 도미닉,
144,밭,오도마 (O'Domar),
145,Be Good,경기남부재즈(Southern Gyeonggi Jazz),많이 아마도 없이 촘촘히
146,Unexpected Fly,이한얼 트리오(Lee Han-Earl Trio),
147,forevher,Shura(슈라),
148,Lover,Taylor Swift(테일러 스위프트),그만큼
149,ASCEND,Illenium,어떻든 어떻든
150,Norman Fucking Rockwell!,Lana Del Rey(라나 델 레이),너무나
151,Fear Inoculum,Tool(툴),
152,Eve,Rapsody(랩소디),
153,James Carter Organ Trio: Live From Newport Jazz,James Carter(제임스 카터),한동안 많이 너무나
154,My Finnish Calendar,Iiro Rantala(이로 랜탈라),아마도 없이 어쩔 없이
155,FAVORITE,smalltown(스몰타운),한동안 오랫동안
156,La Habana,잭 리(Jack Lee),오랜 지극히 특히
157,스피릿선발대,김오키(Kim O Ki),아무리 없이 특히
158,데미안,살롱 드 오수경,
159,Let's march!,마치 (MRCH),
160,chBa,Guinneissik(기나이직),
161,SPARK,JBJ95,없이
162,언어의 형태 (form of tongue),cotoba(코토바),
163,Greatest Hits,Hookuo (후쿠오) & 담예(DAMYE),아무래도 아직 이미 자연스레 특히
164,Stunning,선우정아(Sunwoojunga),되게 그야말로
165,Rocker's WiFi,실버클럽(Silverclub),
166,이방인,E SENS,
167,FEVER DREAM,Of Monsters And Men(오브 몬스터즈 앤 맨),왠지
168,미운 사람만 가득한 이 도시에도,uju(우주),가급적 이미
169,Kaleidoscope,Cyrus Chestnut(사이러스 체스트넛),많이 나아 어디서
170,Antidote,Chick Corea(칙 코리아),게을리 따로 언제나 많이
171,Haze,gong (공),많이 한때 없이 특히
172,계몽,쏜애플(THORNAPPLE),언제나 꽉꽉
173,PUZZLE 9 PIECES,애런(ARRAN),
174,Nights With Ruby,SACHI,이미
175,Heaven is Humming,Goon(군),
176,FOTOGRAFIA,Maria Kim(마리아 킴),언제나 오랜
177,Before The Storm,SONIC STONES(소닉 스톤즈),특히
178,Atlantico,Paula Morelenbaum(파울라 모렐렌바움),없이
179,"""Let's Rock""",The Black Keys(더 블랙 키스),어쩔 오래
180,Carte Blanche,DJ Snake(DJ 스네이크),
181,The Lost Boy,Cordae,특히
182,제29회 유재하 음악경연대회,Various Artists,
183,"yeah, I don't want it",보수동쿨러,난데없이
184,The Book of Us : Gravity,DAY6 (데이식스),없이 특히
185,JAZZ GOES SKA,The SKA JAZZ UNIT,오랫동안
186,We Will Meet Again,Van Plein(반플레인),특히 없이
187,III,Banks(뱅크스),
188,Keepsake,Hatchie,
189,A Different Kind Of Human – Step 2,Aurora(오로라),특히
190,Who Wants to Be a Millionaire?,Chinatown Slalom,그건
191,Dawn,SG Lewis(에스지 루이스),아직도 이미
192,BIRTHDAY,전소미,
193,THE SECOND BULLET (세컨뷸렛),스트릿건즈(Street Guns),기실
194,Schlagenheim,Black Midi(블랙 미디),천천히
195,모래내판타지,구남과여라이딩스텔라,풀풀 오랜 어디서 끝없이 그나마
196,청춘 (靑春),태윤(TAEYOON),특히
197,Diaspora,GoldLink(골드링크),그만큼
198,Bandana,Freddie Gibbs(프레디 깁스) & Madlib(매드립),이미 너무나도
199,MARZ 2 AMBITION,릴러말즈 (Leellamarz),그나마 특히 특히 수시로
200,PRAY ON MY INSECURITY,A.TRAIN(에이트레인),
201,Shea Butter Baby,Ari Lennox,드디어 너무나도
202,IGOR,"Tyler, The Creator(타일러, 더 크리에이터)",특히 한껏
203,"Haus Party, Part.1",Todrick Hall,아마도
204,Father of the Bride,Vampire Weekend(뱀파이어 위켄드),한껏
205,I Am Easy To Find,The National(더 내셔널),가히
206,"When Will The Blues Leave (Live at Aula Magna STS, Lugano-Trevano / 1999)",Paul Bley(폴 블라이) & Gary Peacock & Paul Motian(폴 모션),오래전 감사히
207,I'm All Smiles,George Cables(조지 케이블스),특히 언제나 오랜
208,Dedicated,Carly Rae Jepsen(칼리 래 젭슨),한껏 없이
209,Phantom Forest,Lydia Ainsworth,
210,Rendezvous,CHIMMI(취미),이미
211,킁,C JAMM,또는 특히
212,Bloom,문콕(MOONKOCK),
213,Stand,선우정아(Sunwoojunga),그만큼 그중 언제나 그야말로
214,So!YoON!,So!YoON!(황소윤),특히
215,밀항,피에타(PIETA),천천히
216,A Little Girl Dancing,장승호(Seungho Jang),이미
217,Flight,Yolk,그중
218,상실의 시대,노르웨이 숲,특히
219,Devotion,김성은,특히 많이 오랜 소곤소곤
220,DAMDI,형선(HYNGSN),아무래도 언제나
221,"아, 이 어지러움",위아더나잇(We Are The Night),그만큼 아직
222,성난 도시로부터 멀리,우효(Oohyo),한발
223,Immersion,나윤선,
224,우리마음,오영,살랑살랑
225,시든 꽃에 물을 주듯,HYNN(박혜원),없이 아무리 오래
226,Tribute,송영주 & 써니 킴(Sunny Kim),나지막이
227,오늘밤 나를 위로해,나인(디어클라우드),오래 없이
228,HOMECOMING: THE LIVE ALBUM,Beyoncé(비욘세),특히
229,Time Today,BJ The Chicago Kid(비제이 더 시카고 키드),
230,No Geography,The Chemical Brothers(케미컬 브라더스),특히 그만큼
231,In the End,The Cranberries(크랜베리즈),특히
232,"Epistrophy (Live At The Village Vanguard, New York, NY / 2016)",Bill Frisell(빌 프리셀) & Thomas Morgan(토마스 모건),
233,We Are On The Edge：A 50th Anniversary Celebration (Extended Ver.),Art Ensemble Of Chicago(아트 앙상블 오브 시카고),특히
234,Grim Town,Soak(속),
235,Titanic Rising,Weyes Blood,
236,Life Metal,Sunn0))),이미
