,album titles,artists,cleaned_sentences
32,What's Your Pleasure?,Jessie Ware(제시 웨어),세련되다 멋지다 수많다 가깝다 세련되다 멋지다 흔하다 빠르다 좋다 우아하다 부럽다 어떻다 어떻다 섹시하다 다양하다 훌륭하다 높다 그립다 이렇다
33,TELEKID; on marble,레인보우 99(Rainbow 99) & NWIT,지독하다 꾸준하다 이렇다 확실하다 만족하다 어렵다 작다 확실하다 별다르다 친절하다 어떻다 높다 높다 확실하다
34,Lilac Hill,김수경,탄탄하다 멋지다 많다 밉다 더하다 다양하다 활발하다 높다 경쾌하다 더하다 좋다 좋다 다르다 좋다
35,Petals For Armor,Hayley Williams(헤일리 윌리엄스),드물다 새롭다 철저하다 성공하다 평범하다 어둡다 우울하다 진솔하다 진지하다 다양하다 조용하다 서늘하다 다양하다 흥미롭다 유사하다 익숙하다 반갑다 알맞다 신선하다 차갑다 분명하다 당당하다
36,RTJ4,Run The Jewels(런 더 주얼스),의하다 심각하다 소중하다 적절하다 흥겹다 묵직하다 희다
37,how i'm feeling now,Charli XCX(찰리 엑스씨엑스),갑작스럽다 이렇다 밉다 이렇다 높다
38,daydream,ABTB,반하다 다르다 새롭다 착하다 좋다 거대하다 그러하다 좋다 다분하다 철저하다 매끄럽다 탁월하다 부끄럽다 당당하다 단단하다 반하다
39,오늘밤 당산나무 아래서,추다혜차지스,덥다 진귀하다 격렬하다 강력하다 새롭다 새롭다 새롭다 진정하다
40,내면의 영화,서보경,강력하다 새롭다 즐겁다 어떻다 기대하다 어떻다 어떻다 어떻다 신선하다 다양하다 어떠하다 어떻다 이렇다 인하다 적당하다 못지않다 덤덤하다 상관없다 뛰어나다 아름답다 진지하다 거창하다 강력하다
41,Good nights and Sad times,Faver(페이버),주목할만하다 차분하다 서늘하다 포근하다 청량하다 차분하다 기대하다 자유롭다 자유분방하다 색다르다 노련하다 성장하다 신선하다 섬세하다 깊다 새롭다 주목할만하다
42,통감,정수민(Sumin Jung),독특하다 이렇다 진지하다 따뜻하다 편안하다 영원하다 비장하다 묵직하다 아늑하다 많다 새롭다 더하다 어떻다 화려하다 잔잔하다 어떻다 궁금하다
43,갈 곳을 잃어도 어디든 흘러갈 수 있게,최예근,우승하다 풋풋하다 노련하다 원숙하다 다양하다 능숙하다 어떻다 주목할만하다 설레다 까맣다 익숙하다 다양하다 흥미롭다 뛰어나다 다양하다 탄탄하다 폭넓다 다부지다
44,Rough and Rowdy Ways,Bob Dylan(밥 딜런),험하다 대단하다 영원하다 성하다 선명하다 멀다
45,DETOX,BILL STAX(빌스택스),다르다 확실하다 여전하다 흔하다 불편하다 짜릿하다 탁월하다 이렇다 훌륭하다
46,The Colours,핑크노이즈(Pinknoize),좋다 편안하다 생소하다 여전하다 확실하다 가깝다 좋다 편안하다 넓다 성하다 이렇다 남다르다 어렵다 분명하다
47,Future Voice,히스(Hiss) & Madox,새롭다 어떻다 청량하다 이렇다 새롭다 많다 어렵다 이렇다 훌륭하다 탄탄하다 새롭다 절묘하다 단순하다 확실하다 멀다
48,Future Teenage Cave Artists,Deerhoof(디어후프),영롱하다 거창하다 이렇다 자유분방하다 여전하다 깊다 힘들다
49,Fetch The Bolt Cutters,Fiona Apple(피오나 애플),어떻다 편안하다 평탄하다 복잡하다 난해하다 대담하다 새롭다 노출하다 새롭다 확실하다 어둡다 고통스럽다 길다 대단하다
50,Cheers!,Franco Ambrosetti & Friends,수많다 특별하다 잔잔하다
51,A Billion Heartbeats,Mystery Jets,견고하다 부지런하다 다양하다 자유분방하다 주목할만하다 뚜렷하다 부족하다 강렬하다 리드미컬하다 영롱하다 견고하다 성하다 날카롭다 다분하다 냉정하다 훌륭하다 충실하다 분명하다
52,Pray For Paris,Westside Gunn,탄탄하다 강렬하다 아름답다 우아하다 강렬하다 비정하다 더하다 평범하다 어느새다
53,Duality,Duke Dumont(듀크 듀몬트),충분하다 친숙하다 조용하다 완전하다 확실하다 이러하다 아쉽다 확실하다 충분하다 확실하다 원하다
