,album titles,artists,cleaned_sentences
450,ESGN - Evil Seeds Grow Naturally,Freddie Gibbs(프레디 깁스),철저하다 수많다 강하다 다행하다 그러하다 여전하다 좋다 박하다 영리하다 좋다
451,Wolf,"Tyler, The Creator(타일러, 더 크리에이터)",강렬하다 넓다 격렬하다 불행하다 많다
452,Long.Live.A$AP [Deluxe Explicit ver.],A$AP Rocky(에이셉 라키),설레다 엄청나다 당연하다 충분하다 느리다 강렬하다 희다
453,Finally Rich,Chief Keef(치프 키프),굉장하다 굉장하다 독특하다 밉다
454,Dreams And Nightmares [Deluxe ver.],Meek Mill(미크 밀),뜨겁다 뚜렷하다 명료하다 불우하다 많다 예쁘다 멋지다 선명하다 끊임없다 맹렬하다 불우하다 밉다 뜨겁다
455,"Good Kid, m.A.A.d City [Deluxe ver.]",Kendrick Lamar(켄드릭 라마),훌륭하다 좋다 좋다 좋다 완벽하다 고리타분하다 불가결하다 안전하다 어떻다 아프다
456,The Heist,Macklemore(맥클모어) & Ryan Lewis(라이언 루이스),어마어마하다 많다 수많다 성공하다
457,Kanye West Presents Good Music Cruel Summer,Various Artists,짓궂다 희다
458,Based On A T.R.U. Story,2 Chainz(투체인즈),어떻다 걸쭉하다 세련되다 엄청나다 부다 가깝다
459,"God Forgives, I Don't (Deluxe Edition)",Rick Ross(릭 로스),묵직하다 우아하다 세련되다 다르다 희다
460,진아식당 Full Course,이진아,넓다 다양하다 많다 상당하다 무심하다 당연하다 뚜렷하다 이러하다 가뿐하다 흔하다 뚜렷하다 이러하다 확실하다 강하다 솔직하다 단순하다 새롭다 확고하다 성공하다 옳다 어떻다
461,Matilda (Original London Cast Recording),Original London Cast Of Matilda - The Musical,사랑스럽다 독특하다 위대하다 어둡다 냉담하다 아무렇다 밉다 뻔하다 엉뚱하다 유약하다 강하다 확고하다 단순하다 복잡하다 어이없다 단순하다 유쾌하다 흔하다 새롭다 뻔하다 많다 멋지다 화하다 새롭다 좋다 활발하다 실패하다 새롭다 다재다능하다 뜨겁다 수상하다 수상하다 현란하다 가득하다 화려하다 뛰어나다 탁월하다 커다랗다 유쾌하다 많다 강하다 통쾌하다 새롭다 거대하다 활발하다 날카롭다 넘치다 소중하다 뚱뚱하다 예쁘다 간절하다 낭비하다 엄청나다 이렇다 영리하다 뚜렷하다 가득하다 더하다 강하다 섬세하다 장난스럽다 넘치다 깔끔하다 매끈하다 강력하다 천진하다 아름답다 짙다 멋지다 천진난만하다 탁월하다 아름답다 역겹다 힘차다 좋다 짜릿하다 충분하다 한없다 행복하다
462,Maratea,Leo Stannard(레오 스태너드),화려하다 담담하다 두드러지다 소소하다 평범하다 진실되다 설레다 평범하다 많다 진솔하다 기대하다
463,닿는 순간,창모(CHANGMO),급속하다 많다 작다 단순하다 진부하다 확실하다 시원하다 탁월하다
464,Life Is Good (Deluxe),Nas(나스),뚜렷하다
465,The Stoned Immaculate [Deluxe ver.],Curren$y(커렌시),멀다 독특하다 끊임없다 다양하다 넘치다 여전하다
466,The Money Store,Death Grips(데쓰 그립스),분분하다 확실하다 다양하다 좋다 지저분하다
467,Undun,The Roots(루츠),성하다 많다 자유롭다 굉장하다 유효하다 다양하다 희다
468,Take Care,Drake(드레이크),새롭다 독특하다 진솔하다 우울하다 진솔하다 탁월하다 새롭다
469,Cats & Dogs,Evidence(에비던스),느릿하다 가득하다 더하다 이러하다 흥미롭다 좋다
470,Watch The Throne (Deluxe),JAY-Z(제이지) & Kanye West(카니예 웨스트),많다 열광하다 많다 불우하다 아프다 탁월하다
471,Rolling Papers,Wiz Khalifa(위즈 칼리파),푸르다 넘치다 가깝다 단순하다 가득하다 확실하다 칠하다 가깝다 편안하다 충실하다 넘치다 이렇다 아쉽다 꾸준하다
472,My Beautiful Dark Twisted Fantasy,Kanye West(카니예 웨스트),유머러스하다 비장하다 가득하다 수많다 다양하다
473,Flockaveli,Waka Flocka Flame(와카 플로카 플레임),강하다 강하다 더하다 가득하다 성공하다 많다 무식하다 과격하다 엄청나다 복잡하다 원하다
474,B.o.B Presents: The Adventures of Bobby Ray,B.O.B(비오비),새롭다 흔하다 강하다 밉다 새롭다 희다
475,자우림,자우림(Jaurim),어떻다 가득하다 짙다 오래되다 신나다 좋다 많다 조용하다 까맣다 깊다 좋다 영원하다 영원하다 영원하다 영원하다 영원하다 원하다 영원하다 영원하다 좋다 좋다 유일하다 너그럽다 좋다 신나다
476,Girls' Generation (소녀시대),소녀시대 (GIRLS' GENERATION),상당하다 화하다 상당하다 가깝다 이렇다 불안하다 많다 상당하다 많다 어떻다 어떻다 많다 어떻다 솔직하다 간결하다 달콤하다 말랑하다 상당하다 좋다 어떻다 무의미하다 수많다 새롭다 필요하다 어렵다 간단하다 충분하다
477,Mamma Mia! Here We Go Again (Original Motion Picture Soundtrack),Various Artists,이렇다 완벽하다 끈질기다 다양하다 새롭다 유쾌하다 동일하다 멋지다 흥겹다 복잡하다 뚜렷하다 유쾌하다 아름답다 찬란하다 사랑스럽다 아름답다 매끈하다 탁월하다 자연스럽다 밉다 수많다 행복하다 달콤하다 행복하다 정확하다 많다 젊다 젊다 호화롭다 충분하다 밉다 매끄럽다 가득하다 젊다 많다 짧다 뜨겁다 단단하다 화려하다 성숙하다 유쾌하다 흥겹다 강렬하다 멋지다 여전하다 깊다 뻔하다 식상하다 더하다 중요하다 강하다 어떠하다 연하다 여전하다 적절하다 뛰어나다 깔끔하다 과장하다 풋풋하다 달콤하다 짙다 풍부하다 젊다 싱그럽다 아련하다 뜨겁다 섬세하다 성하다 미세하다 성숙하다 좋다 소박하다 순수하다 그립다 많다 탁하다 탁월하다 젊다 많다 박하다 훌륭하다 흥겹다 매끄럽다 풍부하다 깊다 가득하다 묵직하다 퍼렇다
478,Liberation,Christina Aguilera(크리스티나 아길레라),뛰어나다 성숙하다 뛰어나다 확고하다 여전하다 어떻다 자유롭다 원하다 중요하다 의하다 숨막히다 아름답다 화려하다 자연스럽다 확실하다 뛰어나다 좋아하다 이렇다 다분하다 느리다 쏠쏠하다 충실하다 낯설다 많다 순수하다 많다 성장하다 새롭다 좋다
479,long way,페퍼톤스(Peppertones),상쾌하다 많다 유명하다 뚜렷하다 신선하다 익숙하다 변하다 좋다 이러하다 신선하다 탄탄하다 기대하다 마땅하다 확실하다 뚜렷하다 상당하다 신선하다 낡다 분명하다 선명하다 시원하다 사소하다 이렇다 수많다 아쉽다 확실하다 이렇다 짧다 좋다
480,boy.,offonoff (오프온오프),여전하다 많다 두근거리다 단순하다 정확하다 멋지다 진솔하다 가깝다 달콤하다 가깝다 가득하다 어색하다 솔직하다 솔직하다 여전하다 아름답다 두근거리다 아름답다 두근거리다 가깝다 여전하다 아름답다 솔직하다
481,Palo Santo [Deluxe Edition],Years & Years(이어즈 & 이어즈),이렇다 높다 다르다 적당하다 대단하다 적당하다 뚜렷하다 이러하다 가깝다 빠르다 뛰어나다 작다 주도하다 서글프다 당당하다 두렵다 불과하다 무사하다 좋아하다 신성하다 작다 그러하다 특별하다 특정하다 흥미롭다 빈약하다 영리하다 단단하다 강하다 신성하다 대담하다 절묘하다 친절하다 리드미컬하다 강력하다 복잡하다 매끈하다 어떻다 산뜻하다 발랄하다 정교하다 높다 주도하다 탁월하다 섬세하다 강하다 다양하다 지루하다 힘들다 중요하다 자리다 높다 값지다 반갑다 청량하다 담백하다 더하다 색다르다 새롭다 재미있다 흥미롭다 멋지다 기대하다
482,SUPERFLY (Original Motion Picture Soundtrack),Future(퓨처) & 21 Savage(21 새비지) & Lil Wayne(릴 웨인),많다 다양하다 무섭다 성장하다 다양하다
483,Cool School (The Music of Michael Franks),Leo Sidran(레오 시드란),심각하다 많다 엄격하다 밉다 흔하다 화려하다 강하다 좋아하다 편안하다 느리다 나른하다 시원하다 아쉽다 매끄럽다 힘드다 영리하다 덥다 반갑다 어떻다
484,홀로 있는 사람들,언니네 이발관,필요하다 매끈하다 충실하다 가깝다 좋다 어렵다
485,Backstreet's Back,Backstreet Boys(백스트리트 보이즈),어떻다 높다 높다 달콤하다 사랑스럽다 차분하다 부드럽다 신나다 부드럽다 설레다 익살스럽다 수많다 치열하다 많다 많다 영원하다
486,High As Hope,Florence + The Machine(플로렌스 앤 더 머신),독특하다 확실하다 차갑다 어마어마하다 수상하다 수상하다 독특하다 깊다 드라마틱하다 많다 뒤늦다 당연하다 성공하다 빼어나다 새롭다 더하다 생생하다 엄청나다 중요하다 다르다 방대하다 다양하다 성숙하다 강하다 행복하다 순수하다 이렇다 강하다 수많다 훌륭하다 거대하다 탁월하다 더하다 어마어마하다 선명하다 순수하다 깊다 드라마틱하다 다르다 뜨겁다 톡톡하다 밉다 섬세하다 단조롭다 놀랍다 깊다 더하다 가깝다 서늘하다 소박하다 사랑스럽다 가깝다 색다르다 좋다 넘치다 독특하다 새롭다 뜨겁다 뿌듯하다 깊다 섬세하다 유연하다 아름답다 빼어나다 강하다 단단하다 거대하다 따뜻하다 행복하다 명확하다 솔직하다 솔직하다 편안하다 거대하다 자유롭다 다르다
487,Attention Deficit,Wale(왈레이),많다 여전하다 꾸준하다 건조하다 드라마틱하다
488,Foundation,M.O.P.(엠오피),우수하다 곤란하다 단단하다 새롭다 확실하다 변하다 두껍다
489,Man On The Moon: The End Of Day (Int'l Version),Kid Cudi(키드 커디),노랗다 간결하다 긴박하다 이러하다
490,Slaughterhouse,Slaughterhouse(슬로터하우스),어리둥절하다 화려하다 어둡다 탁하다 균일하다 다르다 불우하다 멀다 딴딴하다
491,The E.N.D. (The Energy Never Dies) [Deluxe Edition],Black Eyed Peas(블랙 아이드 피스),급격하다 가득하다 이러하다 예민하다 완벽하다 단순하다 경쾌하다 화려하다 희다
492,Deeper Than Rap,Rick Ross(릭 로스),엄청나다 상당하다 정확하다 묵직하다 완벽하다 희다
493,R.O.O.T.S.,Flo Rida(플로 라이다),엄청나다 이렇다 박하다 낮다 그러하다 굉장하다 휩쓸다 좋다 말랑말랑하다 희다
494,New Jack City II,Bow Wow(바우 와우),부지런하다 성공하다 아쉽다 지루하다 좋다
495,Troubadour [Champion Edition] (Asian ver.),K'NAAN(케이난),성공하다 다양하다 성하다 성공하다 다양하다 유명하다 알차다
496,Theater Of The Mind,Ludacris(루다크리스),진지하다 성숙하다 그러하다 문란하다 말랑말랑하다 올바르다 폭넓다 탄탄하다 높다 완벽하다 희다
497,808s & Heartbreak,Kanye West(카니예 웨스트),좋다 기대하다 다르다 여전하다 익숙하다 슬프다 슬프다 새롭다 수많다 많다 재미있다
498,The Renaissance,Q-Tip(큐-팁),놀랍다 세련되다 청량하다 많다 여전하다 짜릿하다
499,Paper Trail,T.I.(티아이),낮다 당연하다 희다
500,Tha Carter III [Deluxe Edition],Lil Wayne(릴 웨인),세련되다 차분하다 산뜻하다 희다
501,Lupe Fiasco's The Cool,Lupe Fiasco(루페 피아스코),성공하다 중요하다 어둡다 불우하다 그득하다 충분하다 많다
502,souljaboytellem.com,Soulja Boy Tell'em(솔자 보이 텔렘),생소하다 좋다 많다 거세지다 많다 가볍다 좋다 희다
503,Graduation,Kanye West(카니예 웨스트),어떻다 다르다 엄청나다 편하다 더하다 빠르다
504,Kala,M.I.A.(엠아이에이),좋다 멀다 흥겹다 다양하다 흥미롭다
505,UGK (Underground Kingz),UGK(유지케이),짧다 화려하다 상당하다 희다
506,The Real Testament,Plies(플라이즈),화려하다 많다 부드럽다 지저분하다 단순하다 흔하다 덥다
507,"My Dear, My Lover",디어클라우드(Dear Cloud),충분하다 화려하다 빠르다 다르다 어떻다 진하다 미안하다 잔잔하다 가득하다 단순하다 힘들다 힘드다
508,Ready,Ruel(루엘),강력하다 성숙하다 높다 진솔하다 새롭다 가득하다 많다 기대하다
509,Strength & Loyalty,Bone Thugs-N-Harmony(본 썩스 엔 하모니),오묘하다
510,Red Gone Wild,Redman(레드맨),여전하다 세련되다 성공하다 아쉽다 강하다 그러하다 재미있다 성공하다 좋다 좋다 세련되다
511,Return Of The Mac,Prodigy(프로디지),좋다 높다 좋다 꾸준하다 좋다 좋다 아쉽다
512,Hell Hath No Fury,Clipse(클립스),가득하다 아쉽다 밉다 비장하다 멀다 간결하다 똑같다 강하다 가깝다
513,Doctor's Advocate,The Game(게임),훌륭하다 당연하다 단단하다 명확하다 확실하다 다양하다 넘치다 복잡다단하다 진정하다 부끄럽다
514,Hi-teknology - Volume 2,Hi-Tek,이렇다 풍부하다 따뜻하다 화려하다
515,Game Theory,The Roots(루츠),가득하다 그러하다 어둡다 암울하다 이렇다 침울하다 탁월하다 희다
516,The Audience's Listening,Cut Chemist(컷 캐미스트),수많다 위대하다 현란하다 다양하다 힘들다 다양하다 성공하다 좋아하다 복잡하다 화려하다 어떻다
517,The Big Bang,Busta Rhymes(버스타 라임즈),당연하다 중요하다 굳다 많다 엄청나다 좋다 많다 굉장하다 유명하다
518,행보 2017 윤종신,윤종신,소중하다 좋다 많다 복잡하다 오래되다 성숙하다 어렵다 솔직하다 좋다 세련되다 짠하다 소소하다 담담하다 색다르다 한적하다
519,Sweet Dreamer,Will Joseph Cook(윌 조셉 쿡),시원하다 시원하다 덥다 시원하다 시원하다 반갑다 뜨겁다 시원하다 시원하다 청량하다 나른하다 영롱하다 시원하다 어느새다 좋다 여전하다 무덥다 시원하다 나른하다
520,Youngblood (Deluxe),5 Seconds Of Summer(파이브 세컨즈 오브 썸머),새롭다 어렵다 대단하다 당당하다 성공하다 엄청나다 유일하다 탄탄하다 연하다 새롭다 마르다 확실하다 새롭다 새롭다 서툴다 새롭다 필요하다 중요하다 좋아하다 성숙하다 분명하다 선명하다 또렷하다 섬세하다 높다 섬세하다 곱다 더하다 아름답다 독특하다 사랑스럽다 느슨하다 귀엽다 분명하다 반하다 다양하다 세련되다 성숙하다 치밀하다 열렬하다 뜨겁다 간결하다 강하다 유효하다 강렬하다 묵직하다 훌륭하다 말랑하다 아쉽다 순수하다 더하다 탁월하다 또렷하다 멀다 더하다 성하다 새롭다 다양하다 근사하다 드라마틱하다 깊다 담담하다 미안하다 흥겹다 발랄하다 강렬하다 익살스럽다 확실하다 완벽하다 뜨겁다 성하다 깊다 분명하다 충분하다 훌륭하다 새롭다 여전하다 성장하다 더하다 좋다 어떻다 꾸준하다 흥미롭다
521,New Joc City,Yung Joc(영 족),적당하다 일정하다 재미있다 더하다 신선하다 흥미롭다
522,King,T.I.(티아이),상당하다 이렇다 거만하다 당하다 충분하다 탄탄하다 괜찮다 초라하다 심하다 강하다 부드럽다 더하다 당당하다 희다
523,Fishscale,Ghostface Killah(고스트페이스 킬라),넘치다 좋다 꾸준하다 다양하다 가능하다 많다 여전하다 다양하다
524,My Ghetto Report Card,E-40,명확하다 새롭다 독특하다
525,Donuts,J Dilla(제이 딜라),뛰어나다 이러하다 많다 남짓하다 굉장하다 좋다 충실하다 다양하다 많다 새롭다
526,What The Game's Been Missing!,Juelz Santana(쥴즈 산타나),독특하다 가득하다 많다 많다 단순하다 더하다 희다
527,The Sound of Revenge,Chamillionaire(차밀리어네어),휩쓸다 유사하다 간단하다 길다 희다
528,Most Known Unknown,Three 6 Mafia(쓰리 식스 마피아),쓰리다 쓰리다 쓰리다 다양하다 쓰리다 나열하다 재밌다
529,Late Registration,Kanye West(카니예 웨스트),단순하다 세련되다 가볍다 다양하다 유쾌하다 우아하다 탁하다 훌륭하다 성장하다 희다
530,Let's Get It: Thug Motivation 101,Jeezy(지지),묵직하다 한결같다 신선하다 비장하다 많다 단단하다
531,Command Hallucination,멤낙(Memnoch),좋아하다 괜찮다 그러하다 조용하다 탄탄하다 좋아하다 새롭다 다행하다 굳다 부족하다
532,God's Favorite Customer,Father John Misty(파더 존 미스티),좋다 숭고하다 당연하다 드물다 드물다 여전하다 황홀하다 어떻다 상관없다 분명하다 충실하다 철저하다 더하다 확실하다 편하다 가득하다 수월하다 애석하다 끝없다 차갑다
533,Head Over Heels,Chromeo(크로메오),시원하다 성공하다 아쉽다 여전하다 경쾌하다 흥겹다 착하다 적절하다 좋다 훌륭하다 깔끔하다 시원하다
534,Shapes,Two Tone Shape,냉정하다 그립다 간결하다 훌륭하다 깊다 뚜렷하다 분명하다 여전하다 눈부시다
535,Lush,Snail Mail(스네일 메일),뛰어나다 무모하다 소박하다 굉장하다 요란하다 다행하다 솔직하다 길다 좋다 깊다 절묘하다 급박하다 근사하다 충분하다
536,Any,All Against,좋다 명백하다 원하다 걸쭉하다 짙다 강렬하다 확실하다
537,U.S.A. (United State Of Atlanta) - Chopped & Screwed,Ying Yang Twins(잉 양 트윈스),당연하다 가깝다 말랑말랑하다 멋지다 희다
538,Endtroducing.....,DJ Shadow(디제이 섀도우),유명하다 많다 다양하다
539,Monkey Barz,Sean Price(션 프라이스),묵직하다 독특하다
540,Be,Common(커먼),우직하다 어떠하다 명료하다 단단하다 무리하다 충분하다 폭넓다 적절하다 건전하다 아프다 우직하다
541,R&G (Rhythm & Gangsta): The Masterpiece,Snoop Dogg(스눕 독),좋다 어색하다 꾸준하다 중요하다
542,MM...FOOD,MF Doom(엠에프 둠),많다 구차하다 독특하다 유쾌하다 묵직하다 진지하다 평범하다 좋아하다 멋지다 멋지다 친근하다 멋지다
543,R.U.L.E.,Ja Rule(자룰),탁월하다 가깝다 적절하다 탄탄하다 탁월하다
544,Kreva (新人クレバ),Kreva(크레바/クレバ),유일하다 아무렇다 꾸준하다 높다 많다 활발하다 꾸준하다 많다
545,The Rest Is History,Jin(진 어영/Jin Au Yeung),많다 많다 유일하다 가득하다
546,The Hard Way,213,간단하다 유일하다 다르다 당하다 완벽하다 순수하다 어떻다 편하다 즐겁다
547,EVERYTHING IS LOVE,The Carters,명확하다 파란만장하다 주도하다 특별하다 강렬하다 탄탄하다 거대하다
548,Sink,Sudan Archives(수단 아카이브),특별하다 사이좋다 아프다 멀다 독특하다 진하다 의하다 유해하다
549,Secondhand Smoking,마일드 비츠(Mild Beats),이렇다 여전하다 묵직하다 두드러지다 굵다 다양하다 흥미롭다 어떻다 탁월하다 아쉽다
550,Shelter,Olivia Chaney(올리비아 채니),다양하다 탄탄하다 다양하다 활발하다 그러하다 신중하다 남다르다 밉다 섬세하다 탁월하다 성하다 감미롭다 청아하다 우아하다 찬란하다
551,그림자,그림자,다양하다 좋다 짤막하다 새롭다 무심하다 아련하다 영원하다 그러하다 신비롭다 기대하다
552,FROM THE WILD SKY,Halie Loren(헤일리 로렌),익숙하다 편안하다 적당하다 노랗다 소박하다 솔직하다 더하다 특별하다 유명하다 노랗다 짙다
553,Both Directions At Once: The Lost Album (Deluxe Version),John Coltrane(존 콜트레인),어떻다 치열하다 연하다 드물다 새롭다 넘치다 엄청나다 완벽하다
554,Dear Chopin,신현필 & 고희안,새롭다 새롭다 밉다 밉다 완벽하다 꾸준하다 어떻다 더하다
555,I Want To Be Happy,Maria Kim(마리아 킴) & 허성(Sung Huh),힘드다 드물다 멋지다 새롭다 담백하다 세련되다 칼칼하다 시원하다 따뜻하다 사랑스럽다
556,TESTING,A$AP Rocky(에이셉 라키),새롭다 빠르다 연하다 다르다 수많다 이러하다 다양하다 잘생기다 멋지다 독특하다 빠르다 성장하다 새롭다 가득하다 꾸준하다 여전하다 탄탄하다 날카롭다 높다 엄청나다 짧다 간단하다 다양하다 자연스럽다 독특하다 여전하다 이롭다 어떠하다 분명하다 서럽다 단순하다 꾸준하다 빠르다 다양하다 단조롭다 수많다 강하다 중요하다 다양하다 단순하다 느리다 이러하다 많다 강하다 원하다 지루하다 새롭다 거대하다 단순하다 성공하다 새롭다
557,Breathe,신아람 트리오(Shin Ahram Trio),수많다 이렇다 중요하다 꾸준하다 성실하다 새롭다 두렵다 새롭다 더하다 희다 더하다 더하다 높다
558,The Painter,NUZ(누즈),나직하다 여전하다 잔잔하다 담담하다 신비롭다 유쾌하다 좋다 얕다 깊다 멀다 고요하다 좋다 깊다 작다 외롭다 많다 허전하다 공허하다 쓸쓸하다 성숙하다 어떻다 궁금하다
559,Love Is Dead,CHVRCHES(처치스),주도하다 성장하다 소소하다 오죽하다 특이하다 멋있다 화하다 기발하다 참신하다 유명하다 다양하다 가능하다 만족스럽다 가능하다 높다 좋다 불과하다 몰두하다 벅차다 명확하다 흥겹다 작다 좋다 충실하다 묵직하다 이렇다 놀랍다 여전하다 다르다 잠잠하다 놀랍다 좋다 경쾌하다 묵직하다 새롭다 분분하다 많다 익숙하다 반갑다 고급스럽다 드라마틱하다 다르다 유일하다 화끈하다 이렇다 여전하다 고프다 드물다 강렬하다 유일하다 짙다 좋다 가깝다 작다 어떻다 아쉽다 성장하다 묵묵하다
560,DARKROOM,사이먼 도미닉,꾸준하다 많다 엄청나다 다르다 많다 다르다 어둡다 허무하다 가깝다 변하다 자연스럽다 이렇다 이렇다 힘들다 고통스럽다 싫어하다 좋다 많다 힘드다 평범하다 사소하다 불가능하다 아프다 많다 좋다 많다 많다
561,SQUARE UP,BLACKPINK,많다 어떻다 어떻다 상당하다 뚜렷하다 성공하다 엄청나다 상당하다 많다 아쉽다 상당하다 좋다 어렵다 높다 사소하다 심심하다 좋다 확실하다 다양하다 뚜렷하다 드물다 확실하다 좋다 솔직하다
562,실리카겔,실리카겔,새롭다 새롭다 흔하다 흔하다 정확하다 시르다 중요하다 진정하다 새롭다 값지다 새롭다
563,Nine Track Mind (Deluxe Edition),Charlie Puth(찰리 푸스),보석같다 빠르다 다양하다 높다 꾸준하다 유명하다 단순하다 신중하다 명확하다 높다 깊다 어떻다 빠르다 두텁다 명확하다
564,Le Corsaire - A Ballet in Three Acts,"Evergreen Symphony Orchestra, Anna-Marie Holmes & Kevin Galiè",유쾌하다 화려하다 흔하다 흔하다 좋다 쇠퇴하다 의하다 새롭다 이렇다 이렇다 간단하다 화려하다 인하다 멋지다
565,Sick Boy,The Chainsmokers(체인스모커스),어렵다 흔하다 이렇다 두텁다 이러하다 성숙하다 꾸준하다 이러하다
566,스푸키바나나,스푸키 바나나(Spooky Banana),독특하다 작다 발랄하다 거대하다 작다 빈약하다 그럴듯하다 이렇다 짧다 예쁘다 발랄하다 넘치다 멋지다 별다르다 이렇다 반하다
567,자취방에서,윤딴딴,당연하다 공허하다 외롭다 어렵다 소중하다 힘들다 좋다 어렵다 강하다 젊다 이렇다 충분하다 깊다 깊다 어렵다 똑같다 어떻다 어떻다 많다 어떻다 힘들다 두렵다 많다 괜찮다 좋아하다 굉장하다 싫다 불가능하다 불가능하다 행복하다 좋다 힘들다 소중하다 행복하다 성공하다
568,Barrio Fino (Bonus Track Version),Daddy Yankee(대디 양키),빠르다 흥겹다 많다 성공하다 강하다 열광하다 많다
569,Kiss Of Death,Jadakiss(자다키스),유일하다 다양하다 정갈하다 날카롭다 좋다 음울하다 아쉽다
570,Tical 0: The Prequel,Method Man(메소드 맨),구질구질하다 괜찮다 다르다 많다 많다 꾸준하다 많다 많다
571,The College Dropout,Kanye West(카니예 웨스트),어렵다 이러하다 희다
572,Kamikaze,Twista(트위스타),초라하다 유일하다 짤막하다 부드럽다 성공하다 따뜻하다
573,The Black Album,JAY-Z(제이지),실패하다 독특하다 다르다 많다
574,Beg For Mercy,G Unit(지-유닛),자리다 확실하다 화끈하다 높다 엄청나다 성공하다 희다
575,Chicken - N - Beer,Ludacris(루다크리스),흔하다 빠르다 탄탄하다 대단하다 아무렇다 가득하다 불쾌하다 희다
576,Some Of My Best Friends Are DJs,Kid Koala(키드 코알라),익숙하다 다르다 몰두하다 몰두하다 좋다 중요하다 다양하다
577,Speakerboxxx / The Love Below,Outkast(아웃캐스트),좋다 꾸준하다 다르다 꾸준하다 가깝다 어렵다 치밀하다 다양하다 인색하다 수상하다
578,The Neptunes Present... Clones,Neptunes(넵튠스),간단하다 더하다 어마어마하다 밉다 더하다 흥미롭다
579,Boy In Da Corner,Dizzee Rascal(디지 라스칼),불규칙하다 무책임하다 탁월하다
580,The Soundtrack,Bad Boys 2,나쁘다 나쁘다 높다 상당하다 독특하다 이뿌다 성장하다 넘치다
581,Elephunk,Black Eyed Peas(블랙 아이드 피스),훌륭하다 별다르다 날카롭다 칙칙하다 무겁다 독특하다 강하다 강하다 다양하다 희다
582,Shadows On The Sun,Brother Ali(브라더 알리),인하다 탄탄하다 충실하다
583,Cam'Ron Presents The Diplomats - Diplomatic Immunity,Diplomats(디플로맷츠),느리다 느리다 느리다 게으르다
584,Monster (Clean ver.),Killer Mike(킬러 마이크),강렬하다 박하다 가깝다 그러하다 충분하다 여전하다 강하다 성공하다 좋다
585,Philadelphia Freeway,Freeway(프리웨이),멋지다 독특하다 성공하다 좋다
586,Quality,Talib Kweli(탈립 콸리),많다 날카롭다 좋다 성공하다
587,Dutty Rock,Sean Paul(션 폴),한결같다 복잡하다 정확하다 적합하다 흥겹다 멀다 가깝다 적절하다 화하다 성공하다
588,8마일 (8 Mile),Various Artists,뛰어나다 뜨겁다 희다 넘치다 색다르다 맹렬하다 흥미롭다 곧다 충분하다
589,Kings Of Crunk,Lil Jon(릴 존) & The Eastside Boyz,수많다 꾸준하다 주도하다 특별하다
590,Deadringer,RJD2,탁월하다 음산하다 인하다 상관없다
591,Nellyville,Nelly(넬리),가깝다
592,Original Pirate Material,Streets(스트리츠),
593,Come Home With Me,Cam'ron(캠 론),신기하다 뻔하다 멀다 느리다 중요하다 밉다
594,어벤져스: 인피니티 워 (Avengers: Infinity War) Original Motion Picture Soundtrack [Deluxe Edition],Alan Silvestri(앨런 실베스트리),길다 탄탄하다 더하다 거대하다 흥미롭다 어마어마하다 새롭다 당연하다 분명하다 화려하다 이렇다 밉다 수많다 이렇다 수많다 다양하다 빼어나다 여전하다 많다 노련하다 당연하다 유명하다 짧다 당당하다 짧다 당연하다 중요하다 중요하다 무겁다 강하다 무시무시하다 빠르다 드라마틱하다 빠르다 거대하다 부드럽다 두드러지다 색다르다 더하다 독특하다 낮다 강하다 잔혹하다 섬세하다 장황하다 단순하다 다양하다 근사하다 높다 빼어나다 간결하다 날카롭다 훌륭하다 아련하다 강렬하다 탁월하다 거대하다 강하다 깊다 새롭다 어떻다 기대하다 많다 좋다 쉽다 강렬하다
595,PRETTYMUCH an EP,PRETTYMUCH(프리티머치),뛰어나다 다재다능하다 이렇다 밉다 넘치다 신나다 귀엽다 설레다 유명하다 넘치다 감미롭다 설레다 더하다 기대하다 충분하다 궁금하다
596,"Minkus, L.: Bayadere (La) / Paquita (Sofia National Opera Orchestra, Spassov)",Sofia National Opera Orchestra,화려하다 바쁘다 넘치다 즐겁다 길다 친숙하다 유명하다 새롭다 유명하다 실패하다 우아하다 발랄하다
597,Built From Scratch,X-Ecutioners(엑스 이큐셔너스),그러하다 많다 다양하다 화하다 시원하다
598,Just Tryin' Ta Live,Devin The Dude,가늘다 길다 가늘다 길다 좋다 많다 이렇다 독특하다 자유롭다 매끄럽다 넘치다
599,Stillmatic,Nas(나스),날카롭다 대등하다 짙다 확실하다 더하다 애매하다 아쉽다 충실하다
600,Expansion Team,Dilated Peoples(딜레이티드 피플즈),꾸준하다 흔하다 화려하다 빠르다 어렵다 빽빽하다
601,Labor Days,Aesop Rock(이솝 락),많다 탄탄하다 다양하다 영리하다
602,The Blueprint,JAY-Z(제이지),가득하다 중요하다 좋다 중요하다
603,Ghetto Fabolous [Explicit Version],Fabolous(패볼러스),정갈하다 나긋나긋하다 중요하다 거만하다 건방지다 멋지다 멀다 충분하다
604,In Search Of...,N.E.R.D(엔이알디),멀다 이러하다
605,The Realness,Cormega(코메가),유연하다 의하다 이렇다 힘겹다 이렇다 여전하다
606,Miss E ...So Addictive,Missy Elliott(미시 엘리엇),다재다능하다 유연하다 못지않다 출중하다 신선하다
607,Scorpion,Eve(이브),특별하다 꾸준하다 특별하다 밉다 무시무시하다 섬세하다 많다 흔하다 여전하다 반갑다
608,Restless,Xzibit(엑지비트),많다 좋다 세련되다 여전하다
